gameId,gameDuration(seconds),gameVersion,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills,kills,deaths,assists,totalDamageDealtToChampions,visionScore,goldEarned,averageChampLevel,totalMinionsKilled
3345202639,1599,10.6.314.4405,100,Win,True,True,True,True,True,True,8,2,1,4,2,31,7,45,71131,164,54308,14.4,585
3345202639,1599,10.6.314.4405,200,Fail,False,False,False,False,False,False,2,0,0,0,0,7,31,9,52901,150,41369,12.8,679
3344916806,2032,10.6.314.4405,100,Fail,True,True,False,True,False,True,1,0,1,0,1,34,61,51,142333,173,62306,15.6,636
3344916806,2032,10.6.314.4405,200,Win,False,False,True,False,True,False,9,2,0,5,1,61,34,99,160462,236,75436,16.6,657
3343888189,1112,10.6.314.4405,100,Win,False,True,True,False,True,True,5,1,0,2,2,23,6,39,40788,101,38697,11.4,454
3343888189,1112,10.6.314.4405,200,Fail,True,False,False,False,False,False,1,0,0,0,0,6,23,8,25122,80,27520,9.6,400
3343799338,1136,10.6.314.4405,100,Fail,False,False,False,False,False,False,0,0,0,0,0,16,35,45,65895,71,41274,12.6,112
3343799338,1136,10.6.314.4405,200,Win,True,True,True,False,True,False,8,3,0,2,0,35,16,74,70742,55,55917,14.2,184
3343476868,771,10.6.314.4405,100,Win,False,True,True,False,True,True,5,1,0,1,1,9,2,8,16859,43,25449,8.6,281
3343476868,771,10.6.314.4405,200,Fail,True,False,False,False,False,False,0,0,0,0,0,2,9,1,10026,40,16426,6.6,226
3343463655,1263,10.6.314.4405,100,Fail,False,False,False,False,False,True,0,0,0,0,1,6,22,7,39450,69,32236,10.4,458
3343463655,1263,10.6.314.4405,200,Win,True,True,True,False,True,False,10,2,0,3,1,22,6,38,51602,113,43765,11.8,468
3337623482,1946,10.6.313.8894,100,Fail,False,True,False,False,False,True,5,0,0,0,2,26,39,42,100184,168,63852,15.2,698
3337623482,1946,10.6.313.8894,200,Win,True,False,True,True,True,False,10,2,1,4,0,39,26,67,109800,195,68114,16.8,755
3337582206,2045,10.6.313.8894,100,Fail,False,False,True,True,False,False,9,3,1,4,1,42,37,71,116056,216,67762,15.4,663
3337582206,2045,10.6.313.8894,200,Win,True,True,False,False,True,True,7,1,1,1,1,37,42,68,130771,135,68433,16.6,709
3336217125,2343,10.6.313.8894,100,Win,False,True,True,True,False,True,9,1,1,3,2,37,26,67,128987,298,75146,17.0,759
3336217125,2343,10.6.313.8894,200,Fail,True,False,False,False,True,False,4,0,0,3,0,26,38,34,118048,182,71107,16.8,919
