,0
814,3379009577
815,3378558557
816,3378564323
817,3378531925
818,3378495884
819,3378452171
820,3378403933
821,3378213836
822,3378115747
823,3378028382
824,3377892583
825,3377748481
826,3377792207
827,3377696512
828,3377669946
829,3376789589
830,3376772603
831,3376715301
832,3375533356
833,3375487346
834,3375421756
835,3375365617
836,3375340327
837,3374988099
838,3374644535
839,3374529256
840,3374026001
841,3374032562
842,3374017461
843,3373994173
844,3373948397
845,3373847079
846,3373375245
847,3373268988
848,3373290911
849,3373233561
850,3373147179
851,3373139981
852,3372367323
853,3372371470
854,3372284784
855,3372228165
856,3372211946
857,3372142020
858,3372095967
859,3372051983
860,3371516077
861,3371521395
862,3371429144
863,3371355780
864,3371300924
865,3371226814
866,3369954557
867,3369856955
868,3369779533
869,3369781916
870,3369702554
871,3369675612
872,3369255210
873,3369220587
874,3369185732
875,3377940717
876,3377805647
877,3377757803
878,3376561651
879,3376409544
880,3376347125
881,3374713198
882,3365493014
883,3365405469
884,3365174159
885,3365066628
886,3363905718
887,3362356792
888,3362225614
889,3362138169
890,3360685876
891,3360525409
892,3360476028
893,3360397489
894,3352510021
895,3352408468
896,3352444713
897,3350872663
898,3350795656
899,3350767707
900,3349403772
901,3349062172
902,3349050032
903,3348967103
904,3348972359
905,3348926466
906,3346003798
907,3345936715
908,3345841641
909,3345756215
910,3344124022
911,3344018152
912,3344052456
913,3343965320
914,3343875949
915,3343798332
916,3339730617
917,3339592353
918,3339415038
919,3338372053
920,3329222891
921,3329341715
922,3329340453
923,3327864961
924,3327881655
925,3327839831
926,3327816117
927,3327515909
928,3327457926
929,3326465595
930,3325853982
931,3325799539
932,3325803307
933,3324147888
934,3324107345
935,3324095955
936,3323364299
937,3323342786
938,3323321134
939,3323296876
940,3323282048
941,3323227581
942,3323206837
943,3323195405
944,3323163525
945,3323200182
946,3323049067
947,3323135336
948,3322059794
949,3321956344
950,3321981187
951,3321917605
952,3321932052
953,3321777954
954,3321800229
955,3321688367
956,3321351988
957,3321339262
958,3321298456
959,3321309992
960,3321239181
961,3321265412
962,3321261165
963,3321226876
964,3321192948
965,3321148057
966,3321143021
967,3321008012
968,3321039902
969,3320579022
970,3320536257
971,3320275948
972,3382436786
973,3382396797
974,3382273311
975,3381431363
976,3381360197
977,3381235215
978,3380793251
979,3380760527
980,3380635939
981,3380578912
982,3380555412
983,3380591462
984,3380528188
985,3378799547
986,3377958036
987,3377743463
988,3377668841
989,3376472880
990,3376434327
991,3376399216
992,3376374691
993,3376298498
994,3376266989
995,3376262492
996,3376245022
997,3376117035
998,3376083719
999,3376028228
1000,3375254296
1001,3375137430
1002,3375094051
1003,3375027470
1004,3375003108
1005,3374436506
1006,3371837811
1007,3370982067
1008,3370916502
1009,3369853717
1010,3368653122
1011,3368583704
1012,3367034604
1013,3366969109
1014,3366974306
1015,3366812993
1016,3364613185
1017,3363898798
1018,3363871147
1019,3363584735
1020,3362192951
1021,3362124589
1022,3360726149
1023,3360718152
1024,3360650104
1025,3360633153
1026,3360519309
1027,3360523849
1028,3360504282
1029,3358222880
1030,3357450728
1031,3356880522
1032,3353865051
1033,3353503486
1034,3353438201
1035,3353403116
1036,3353122309
1037,3352407538
1038,3352406130
1039,3352443611
1040,3352392993
1041,3352389403
1042,3352377065
1043,3352334565
1044,3352317856
1045,3352260056
1046,3352186990
1047,3352240136
1048,3351434315
1049,3350960141
1050,3350898262
1051,3350420479
1052,3348995521
1053,3349002892
1054,3349001009
1055,3348899023
1056,3348935576
1057,3348731418
1058,3346884996
1059,3345297318
1060,3345305900
1061,3345254968
1062,3345262615
1063,3344806952
1064,3344790734
1065,3344090035
1066,3343968826
1067,3343015653
1068,3343071272
1069,3342992299
1070,3382570311
1071,3382526010
1072,3382510082
1073,3382234074
1074,3382186888
1075,3382173621
1076,3382140618
1077,3382137241
1078,3381258995
1079,3381293927
1080,3381157392
1081,3381050579
1082,3380897427
1083,3380868107
1084,3380788639
1085,3380504262
1086,3378880378
1087,3378825654
1088,3378361971
1089,3378346693
1090,3378310886
1091,3378257003
1092,3378261772
1093,3376587416
1094,3376580347
1095,3376485419
1096,3376039175
1097,3376016103
1098,3375993206
1099,3375981506
1100,3375113843
1101,3374986175
1102,3374812249
1103,3374740943
1104,3373106927
1105,3373151610
1106,3371936022
1107,3371959888
1108,3370097569
1109,3370090959
1110,3370022902
1111,3369909569
1112,3369642783
1113,3369559733
1114,3369603746
1115,3369571167
1116,3368894554
1117,3368789038
1118,3368408448
1119,3368451612
1120,3368185093
1121,3368212692
1122,3368180718
1123,3368077297
1124,3367250826
1125,3367195231
1126,3367170405
1127,3367134922
1128,3367092172
1129,3367066456
1130,3367051072
1131,3366638642
1132,3366607546
1133,3365901644
1134,3365816172
1135,3365689652
1136,3365656144
1137,3365498257
1138,3364272738
1139,3364188537
1140,3364202173
1141,3364147109
1142,3364109993
1143,3364024581
1144,3363989245
1145,3363521062
1146,3363466818
1147,3363511724
1148,3363460212
1149,3363435837
1150,3363393525
1151,3362813359
1152,3362692952
1153,3362617213
1154,3362652361
1155,3362559723
1156,3362561377
1157,3362290838
1158,3362157847
1159,3362058093
1160,3360710020
1161,3360599932
1162,3360422556
1163,3360341288
1164,3359300440
1165,3359158005
1166,3358353303
1167,3382249286
1168,3380678266
1169,3378888012
1170,3377654109
1171,3375913539
1172,3374427924
1173,3373719651
1174,3369607958
1175,3367903724
1176,3365462084
1177,3363474285
1178,3363448053
1179,3363432967
1180,3356936172
1181,3355371706
1182,3354974694
1183,3354879690
1184,3354874032
1185,3353635818
1186,3353537797
1187,3351913033
1188,3349391761
1189,3348024060
1190,3347933890
1191,3347852507
1192,3346615390
1193,3346619771
1194,3346535498
1195,3339783191
1196,3333770425
1197,3333272821
1198,3333189313
1199,3333183077
1200,3333096802
1201,3331654930
1202,3330054233
1203,3328291222
1204,3328221625
1205,3328024980
1206,3327998733
1207,3326619256
1208,3326632252
1209,3325984751
1210,3321408502
1211,3321377026
1212,3321356238
1213,3321364680
1214,3320409211
1215,3320355960
1216,3318513663
1217,3317975939
1218,3308617283
1219,3308138265
1220,3308160954
1221,3308117547
1222,3308076993
1223,3306698780
1224,3306652476
1225,3306616029
1226,3306577611
1227,3306534192
1228,3306521456
1229,3306486900
1230,3306483027
1231,3306460697
1232,3306456544
1233,3306455495
1234,3306434455
1235,3306441577
1236,3306398787
1237,3306347899
1238,3306345971
1239,3306390670
1240,3306057286
1241,3306035671
1242,3305946967
1243,3305904950
1244,3305841618
1245,3305676131
1246,3305670631
1247,3303222857
1248,3303166055
1249,3303143243
1250,3302935423
1251,3302950511
1252,3302846940
1253,3302374539
1254,3302402738
1255,3302208978
1256,3301872254
1257,3301807384
1258,3301793120
1259,3301728094
1260,3301717782
1261,3301696091
1262,3301652433
1263,3301549423
1264,3301447585
1265,3381346884
1266,3381258630
1267,3378023670
1268,3377948114
1269,3376129152
1270,3373973316
1271,3373990419
1272,3373785576
1273,3368873474
1274,3368796217
1275,3366478664
1276,3366465220
1277,3366025542
1278,3366000357
1279,3365926209
1280,3365846436
1281,3364912525
1282,3364477521
1283,3364441279
1284,3364343303
1285,3364265813
1286,3362621247
1287,3362572342
1288,3362530137
1289,3362461515
1290,3362357497
1291,3362288748
1292,3362283969
1293,3362216184
1294,3361869344
1295,3359224584
1296,3359130813
1297,3358703387
1298,3358119143
1299,3357548656
1300,3357540889
1301,3357449844
1302,3357390021
1303,3355618063
1304,3355573997
1305,3355493359
1306,3355464836
1307,3355384871
1308,3354838720
1309,3353788349
1310,3352777914
1311,3351864493
1312,3351805518
1313,3351800300
1314,3351752477
1315,3351665309
1316,3351214626
1317,3350530223
1318,3349544270
1319,3347578965
1320,3346558016
1321,3345620529
1322,3345542518
1323,3343595695
1324,3342975120
1325,3342897396
1326,3342870142
1327,3342152132
1328,3342034797
1329,3341297173
1330,3341237855
1331,3341209789
1332,3341151274
1333,3341074654
1334,3341001863
1335,3340308429
1336,3339781829
1337,3337146382
1338,3336044456
1339,3335986207
1340,3335209616
1341,3333183592
1342,3332542531
1343,3332445364
1344,3332432871
1345,3332353803
1346,3332291264
1347,3332212807
1348,3332145988
1349,3331136918
1350,3330548660
1351,3330511004
1352,3330412225
1353,3330353941
1354,3330333633
1355,3329672481
1356,3329588174
1357,3327966488
1358,3327961717
1359,3327712675
1360,3327689350
1361,3382301588
1362,3381398126
1363,3381331959
